"nama_resto","kategori_resto","rating_resto","menu_resto","harga"
"McDonald's - Cideng","Chicken,Fast Food","4.7","2xPaNas1 Ayam Lengkuas (Krispy) + 2x McFlurry OREO","95.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","2xPaNas1 Ayam Lengkuas (Spicy) + 2x McFlurry OREO","95.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Lengkuas ALC (Krispy) + 3x Iced Coffee","150.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Lengkuas ALC (Spicy) + 3x Iced Coffee","150.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaMer 5 Ayam Lengkuas ALC (Mix) + 3x Iced Coffee","150.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak","46.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak","46.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Hebat Smoky BBQ Wings","30.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Iced Coffee Sea Salt Caramel with Jelly Float","27.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","White Choco Strawberry Pastry Pie","15.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Paket Nasi Uduk McD Ayam Suwir","26.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Mixed Berries McFlurry with Froot Loops","16.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","Mixed Berries McFlurry with OREO","16.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2 Ayam Krispy Lengkuas McD Sambal Bajak Large","63.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2 Ayam Spicy Lengkuas McD Sambal Bajak Large","63.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2 Ayam Krispy Lengkuas McD Sambal Bajak","58.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas 2 Ayam Spicy Lengkuas McD Sambal Bajak","58.000"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak Large","51.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Spicy Lengkuas McD Sambal Bajak Large","51.500"
"McDonald's - Cideng","Chicken,Fast Food","4.7","PaNas Spesial Ayam Krispy Lengkuas McD Sambal Bajak","46.500"
